,ASIN,商品名,商品画像,商品説明(文章),商品説明(画像),最低価格,Amazonカテゴリ,ヤフオクカテゴリ
B00CB96YLM,B07K8WQFWS,sillymann シリコン マルチカバー 17.5cm ホワイト JY-WSK353-W,https://images-na.ssl-images-amazon.com/images/I/41u5Z7hhtSL.jpg,"サイズ:17.5cm| 

色:ホワイト商品紹介カップやグラス、スープボトルの上に乗せて簡単密封。ラップの代わりにレンジで温め直しにも使えます。Amazonより●カップやグラス、スープボウルなどの上に乗せて簡単にフタができる。ラップの代わりにレンジで温め直しにも使える●素材は哺乳瓶の口にも使用される、高品質なプラチナシリコンを使用している●耐冷、耐熱温度に優れているので、冷凍庫や電子レンジに使える●軽くて柔軟性があるので他の食器や調理器具に傷を付けない●食洗機にも使える。食品衛生法の基準に適合したも",[],960,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/電子レンジ調理用品,24678
B00CB96YOO,B07K8WQFWS,sillymann シリコン マルチカバー 13.5cm ピンク JY-WSK352-P,https://images-na.ssl-images-amazon.com/images/I/41V9%2BoOGszL.jpg,"サイズ:13.5cm| 

色:ピンク商品紹介カップやグラス、スープボトルの上に乗せて簡単密封。ラップの代わりにレンジで温め直しにも使えます。Amazonより●カップやグラス、スープボウルなどの上に乗せて簡単にフタができる。ラップの代わりにレンジで温め直しにも使える●素材は哺乳瓶の口にも使用される、高品質なプラチナシリコンを使用している●耐冷、耐熱温度に優れているので、冷凍庫や電子レンジに使える●軽くて柔軟性があるので他の食器や調理器具に傷を付けない●食洗機にも使える。食品衛生法の基準に適合したも",[],460,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/電子レンジ調理用品,24678
B00CB970A6,B07K8WQFWS,sillymann シリコン マルチカバー 13.5cm グリーン JY-WSK352-G,https://images-na.ssl-images-amazon.com/images/I/41ruUsSu-IL.jpg,"サイズ:13.5cm| 

色:グリーン商品紹介カップやグラス、スープボトルの上に乗せて簡単密封。ラップの代わりにレンジで温め直しにも使えます。Amazonより●カップやグラス、スープボウルなどの上に乗せて簡単にフタができる。ラップの代わりにレンジで温め直しにも使える●素材は哺乳瓶の口にも使用される、高品質なプラチナシリコンを使用している●耐冷、耐熱温度に優れているので、冷凍庫や電子レンジに使える●軽くて柔軟性があるので他の食器や調理器具に傷を付けない●食洗機にも使える。食品衛生法の基準に適合したも",[],648,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/電子レンジ調理用品,24678
B00CB970AG,B07K8WQFWS,sillymann シリコン マルチカバー 10.5cm ホワイト JY-WSK351-W,https://images-na.ssl-images-amazon.com/images/I/41%2BVyjd8Q6L.jpg,"サイズ:10.5cm| 

色:ホワイト商品紹介カップやグラス、スープボトルの上に乗せて簡単密封。ラップの代わりにレンジで温め直しにも使えます。Amazonより●カップやグラス、スープボウルなどの上に乗せて簡単にフタができる。ラップの代わりにレンジで温め直しにも使える●素材は哺乳瓶の口にも使用される、高品質なプラチナシリコンを使用している●耐冷、耐熱温度に優れているので、冷凍庫や電子レンジに使える●軽くて柔軟性があるので他の食器や調理器具に傷を付けない●食洗機にも使える。食品衛生法の基準に適合したも",[],380,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/電子レンジ調理用品,24678
B00CLMF83O,B07K8WQFWS,レック Riffle マルチ 水切りかご スリムタイプ ( 流れる/流れない切替えトレー・コップスタンド・まな板スタンド付き・大皿対応) 水切りラック 水切りバスケット KK-086,https://images-na.ssl-images-amazon.com/images/I/41ezYv8Zh4L.jpg,パターン(種類):スリム商品の説明●水回りをスッキリ収納！ステンレス水切りラック●シンクまわりをスッキリ収納、ステンレス水切りカゴ。●トレーはスリット入りの傾斜した面で水切れしやすい。●トレーを裏返せば止水して使えます。●皿立てには直径28cmまでの大皿が収納できます。●グラススタンドにはコップ4つがかけられます。ペットボトルや缶もOK。●サイズ（約）:幅41×奥行22.5×高さ15cm●材質:本体/ステンレス銅線　トレー、ポケット/ポリプロピレン●中国製Amazonより●水を溜めるタイプと水を流すタイプと表裏で2通りの使い方ができる2WAYトレーが付いています●厚さ3cmまでのまな板や発泡トレーも収納できる、便利なサイドグラスラック付き●サイドグラスラックのアームには、ペットボトルや缶を挿して水を切ることができます●皿置きは直径28cmまでの大皿に対応できます●SIAAマーク認定商品！抗菌加工で清潔・安心●収納物を小分けしやすい取り外し可能なポケットが付いています●サビに強く清潔なステンレス製,[],1455,ホーム＆キッチン/キッチン用品/シンク周り用品/水切りラック,24678
B00D3CXIP6,B07K8WQFWS,LIXIL(リクシル) INAX ビルトイン用 交換用浄水カートリッジ (13+2物質除去) JF-45N,https://images-na.ssl-images-amazon.com/images/I/313y8C2DGWL.jpg,スタイル名:13+2物質除去商品紹介仕様:材料の種類;カートリッジ部ABS樹脂・接続ホースポリエチレン、ろ材の種類:中空糸膜(ポリエチレン)・活性炭・不織布・セラミック、ろ過流量2.5L/min(流動圧0.1MPaの場合)、使用可能な最小流動圧0.06MPa、浄水カートリッジの取換時期目安12カ月・浄水器協会の規格基準(JWPASB)での試験結果:除去物質:鉄(微粒子状)除去率80%、アルミニウム(中性)除去率80%ご注意（免責）＞必ずお読みください適用商品:KS-403XU(JW)KS-406X(JW)KS-460SXU(JW)KS-462SXU(JW)JF-N461SX(JW)JF-N463SX(JW)JF-N465SX(JW)JF-N467SX(JW)JF-NA461S(JW)JF-NA466S(JW)JF-NB461SX(JW)JF-NB466SX(JW)※ご注文後のキャンセル、返品はご遠慮下さい。,[],14324,ホーム＆キッチン/キッチン用品/浄水器・整水器/浄水器・ポット交換カートリッジ/据置型・アンダーシンク・水栓一体型用カートリッジ,24678
B00DAM5L1S,B07K8WQFWS,TANITA バイブレーションタイマー 24時間計 クイック ホワイト TD370N-WH,https://images-na.ssl-images-amazon.com/images/I/41T7FhwVsdL.jpg,色:ホワイト商品の説明会議・図書館など音の気になる場所での使用に、時間をバイブレーションでお知らせします。電子ブザー音とバイブレーションの切り替え可能落下防止のストラップ付設定し易いアップダウンキー携帯便利な小型サイズ設定時間：最大23時間59分59秒最小1秒アラーム鳴動時間：約60秒（5秒～60秒の範囲で変更可能）Amazonより小さいので携帯しやすい時間をバイブレーション(振動)またはブザー音でお知らせするタイマー小さくて携帯しやすく、誤操作防止用のフタも付いている静かな場所で時間管理が必要な方にバイブレーション(振動)と電子ブザー音が選べるアラーム音量は65dB以上簡単設定アップキーとダウンキーで、時間を設定しやすいアラーム時間：初期設定時60秒(設定可能範囲：5～60秒)バイブレーション:初期設定時60秒(設定可能範囲：5～60秒)時計：24時間制6桁表示クリップが付いたストラップ付き落下防止用クリップがついた便利なストラップカラーバリエーションホワイトTD370N-WHブラックTD370N-BKピンクTD370N-PKこのほかのタニタの特集ページタニタのタイマー・料理小物はこちらタニタ社員食堂（R)タニタ生活ダイエットのページはこちら※「タニタ社員食堂」「タニタ食堂」は株式会社タニタの登録商標です,"['https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00DAM5L1S_01.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00DAM5L1S_02.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00DAM5L1S_03.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00DAM5L1S_04.jpg']",1181,ホーム＆キッチン/キッチン用品/調理・製菓道具/計量・温度計・タイマー類/キッチンタイマー(デジタル),24678
B00DDLOHMA,B07K8WQFWS,愛工業 Tセット 野菜調理器Qシリーズ,https://images-na.ssl-images-amazon.com/images/I/41TlccGfcDL.jpg,パターン(種類):TセットQシリーズの野菜調理器に波刃カッターをセット薄切り・千六本・細千切りのプレートの刃は焼き入れ特殊ステンレス鋼。更に本刃付けの波刃カッター付き用途別に色分けされたプレート四枚にプロテクター・すべり止め付の受け器がセットされ、すっきりと収納できる各プレートの裏にはエラストマーがついている事で滑りづらくなっている薄切り:厚さ約1.5mmにスライス。輪切りや短冊用に細千切り:厚さ約1.0mmにスライス。サラダや刺身のつま用に千六本:厚さ約2.3mmにスライス。サラダや炒め物に波刃カッター:じゃがいもや人参・ソーセージやかまぼこまで「なみなみ」にカット*注意事項*付属の取扱説明書をよく読み、刃先には十分注意して取り扱うこと,[],999999999,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/スライサー・カッター,24678
B00E59R3D4,B07K8WQFWS,LIXIL(リクシル) INAX JF-20-T 交換用浄水カートリッジ 3個入り(1年分),,スタイル名:3個入りコンパクトなボディーに高性能を詰め込んだ、オールインワン純正カートリッジです。■スタンダードな機能で価格を重視したいなら、JF-20■より高性能なカートリッジなら、高塩素除去タイプのJF-21■よりたくさんの物質を取り除きたいなら、12+2物質除去高塩素除去タイプのJF-22素材・材質:ポリプロピレンろ材の種類:セラミック(原材料アルミノケイ酸カルシウム)、活性炭、不織布※ミネラルセラミックフィルター(原材料アルミノケイ酸カルシウム)は、抗菌製品技術協議会(SIAA)の定める抗菌製品の品質と安全性の自主基準に適合しています。ろ過流量:2.5L/分(流動圧0.1MPaの場合)使用可能な最小動水圧:0.05MPa浄水カートリッジの取替時期の目安:約4ヵ月(10L/日使用の場合),[],6904,ホーム＆キッチン/キッチン用品/浄水器・整水器/浄水器・ポット交換カートリッジ/蛇口用カートリッジ,24678
B00EI63AFY,B07K8WQFWS,サーモス ステンレスランチジャー 約1.6合 ミッドナイトブルー JBG-2000 MDB,,商品紹介温かいごはんとスープで、お弁当をしっかりした食事として楽しむステンレスランチジャーは、スープ容器がついていて、温かいごはんとスープを一緒に楽しめます。ごはん容器、スープ容器、おかず容器と、ストラップのついた保温容器、ハシ、ハシケースのセットです。◆おいしさの仕組みごはんとスープはあたたかく保温、いたみやすいおかずは常温でキープ。◆冷たいメニューにも！冷たいメニューも食べごろ温度でおいしさキープ。◆電子レンジ対応の容器内容器は電子レンジに対応。※フタははずしてください。◆保温容器は丸洗いOK！保温容器は丸洗いもでき、衛生的です。※水中に放置しないでください。◆食器洗い乾燥機対応内容器、ハシ、ハシケースは食洗機に対応して、お手入れも簡単です。※保温調理器は食洗機に入れないでください。◆持ちやすいストラップ保温容器本体には持ちやすいハンディ＆ショルダーストラップがついています。◆たっぷり入ってコンパクト！1膳×3.8倍（約1.6合）対応※1膳=約0.2Lの場合■仕様カラー：ミッドナイトブルー容量おかず容器：0.4Lごはん容器：0.75L、保温米飯容量（炊く前のお米の量）の場合0.29Lスープ容器：0.3L本体サイズ（約）：幅16.0×奥行13.5×高さ23.0cmハシ寸法：約19.5cm重量（約）：1.0kg保温効力（6時間）：70度以上付属品：ハシ、ハシケース※保温効力とは、室温20℃において製品に規定量の95℃の熱湯を満たし、所定時間放置した場合の温度Amazonより●「出来たて」を連れて行こう。作りたてのおいしさと温かさをお届けサーモスのホットランチシリーズ。温かいごはんはもちろんスープやカレーなど、ランチの幅を広げる●学校や塾に通っているお子様や、たっぷり食べたい中高生から働き盛りの男性まで、幅広いランチのニーズにお応えする●たっぷり入ってコンパクト●スープ容器付き●夏は冷たいメニューもおすすめ●ストラップ付き●すべての内容器はフタを外せば電子レンジOK●食器洗い乾燥機対応でお手入れしやすい。内容器(ごはん容器・おかず容器・スープ容器)、ハシ、ハシケースは食洗機OK(※保温容器は入れないでください)●丸洗いOK(※保温容器は水中に放置しないでください)商品の説明をすべて表示する,"['https://images-na.ssl-images-amazon.com/images/G/09/richcontents/DP_Aplus_Images/B00EI63AFY_2_160906131301._SX300_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/09/richcontents/DP_Aplus_Images/B00EI63AFY_5_160906131301._SX255_.jpg']",3500,ホーム＆キッチン/キッチン用品/弁当箱・水筒/保温ランチジャー,24678
B00EJ9KSG4,B07K8WQFWS,ティファール IH調理器 クッキングヒーター  デイリーIH  セラミックガラス製トッププレート ブラック IH2028JP,https://images-na.ssl-images-amazon.com/images/I/41bKaoe0ZdL.jpg,"色:ブラック| 

パターン:単品■「加熱調理」「煮る」「揚げる」「湯わかし」をボタンひとつで選択。それぞれの調理に最適な火力がプログラムされているので、様々な料理を簡単に作れます。■1400Wのハイパワーで、立ち上がりが素早く、火力も強いのでスピード調理できます。■1分から99分までセットが可能。消し忘れを気にする必要がなく、残り時間も表示されるので便利です。■トッププレートは、フラットなセラミックガラスを使用。汚れが付きにくいので、調理後のお手入れも簡単です。■チャイルドロック■保温機能付■点字表示付■底面の直径11～22cmの幅広いIH調理器具に対応■本体サイズ（約）：幅30.0×奥行34.2×高さ5.0cm■重量：約2.2kg■電源コード長さ：1.8m",[],4743,ホーム＆キッチン/家電/キッチン家電/コンロ・クッキングヒーター/卓上IHクッキングヒーター,24678
B00EYSFNK6,B07K8WQFWS,下村工業 味わい食房 ステン太千切り器 しりしり ASF-667,https://images-na.ssl-images-amazon.com/images/I/51uYbaUE5-L.jpg,パターン(種類):太千切り器商品紹介沖縄県の郷土料理。「しりしり」用の千切り器きんぴらなど、太めの千切りが作れるAmazonより●沖縄県の郷土料理。「しりしり」用の千切り器●きんぴらなど、太めの千切りが作れる,[],504,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/スライサー・カッター,24678
B00FVH35BS,B07K8WQFWS,京セラ セラミックミル ペッパー・結晶塩用 ブラック cm-15N-BK,https://images-na.ssl-images-amazon.com/images/I/318fzlYxoEL.jpg,色:ブラック●粗さ調整機能付き●外寸：φ51×H137　●材質：刃：セラミック磁器　ミルヘッド：ポリプロピレン　ツマミ：ポリアセタール　容器：ガラス　●外装サイズ（高さmm）：195●外装サイズ（幅mm）：550●外装サイズ（奥行きmm）：550●外装サイズ（重量g）：215●製品重量（g）：215,[],821,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/その他の調理器具/ミル,24678
B00GRRRX0K,B07K8WQFWS,HARIO (ハリオ) V60 計量スプーン シルバー M-12SV,https://images-na.ssl-images-amazon.com/images/I/31%2B3hk9%2Ba6L.jpg,"色:シルバー| 

パターン(種類):単品◆コーヒー粉すりきり12g　／　■　仕　様　■カラー：シルバー　本体サイズ（約）：幅9.6×奥行5.3×高さ3.5cm　重量：約53g　材質：ステンレス　／",[],507,ホーム＆キッチン/キッチン用品/コーヒー・ティー用品/コーヒー用品/コーヒーメジャー,24678
B00H2MANTM,B07K8WQFWS,オーエ スマートホーム カトラリースタンド ホワイト,https://images-na.ssl-images-amazon.com/images/I/215vXB8f-9L.jpg,商品紹介●フォーク・スプーン・お箸などのカトラリー類の水切り・スタンド収納に。●ぬれたフォーク、スプーン、お箸等入れても、しっかりと水切りができます。●仕切り板を外して使えるので、お手入れが簡単です。●キッチンや食卓などに、スプーンやお箸等を立てておけるカトラリースタンドです。●水切り機能と洗いやすさでいつも清潔に使えます。Amazonより●美しく使いやすさのこだわり●ぬれたフォーク、スプーン、お箸等入れても、しっかりと水切りができる●仕切り板を外して使えるので、お手入れが簡単,[],667,ホーム＆キッチン/収納用品/キッチン収納/キッチンツールフック,2084018482
B00HHKJ59S,B07K8WQFWS,学研ステイフル おさるのジョージ コップ袋 ランチ巾着 ミニ ジョージ K05056,https://images-na.ssl-images-amazon.com/images/I/51O7zbOy7YL.jpg,"サイズ:ミニ| 

色:ジョージ【「おさるのジョージ」のランチ巾着袋】お子様から大人まで、男女を問わず大人気、「ひとまねこざる」シリーズの絵本やアニメでおなじみのおさるのジョージの巾着タイプのコップ袋です。コップを入れるのに程よいサイズで、幼稚園や保育園に持って行くのに重宝します。コップ以外にも文具や小物など、さまざまなアイテムの収納や運搬に、幅広くご利用いただけます。おさるのジョージのイメージカラーである黄色を基調とした模様はお子様のランチアイテムにぴったり、毎日のランチタイムを楽しく彩ります。安心の日本製で、しっかりとしたつくりなので毎日の使用にも頼もしく活躍してくれます。『おさるのジョージ』シリーズのランチアイテムは、他にも豊富に展開しています。ランチアイテムを同じキャラクターで揃えるのもおすすめです。デザイン:おさるのジョージ本体サイズ:158×155×80mm材質:綿日本製商品名:学研ステイフルおさるのジョージコップ袋ランチ巾着ミニサイズジョージK05056",[],432,ホーム＆キッチン/キッチン用品/弁当箱・水筒/ランチバッグ・ランチ巾着・ランチベルト,24678
B00HIUHC5G,B07K8WQFWS,パール金属 卵焼き フライパン 13×18cm IH対応 玉子焼き器 ライズ ブルーダイヤモンドコート HB-323,https://images-na.ssl-images-amazon.com/images/I/31RpU2PThaL.jpg,サイズ:玉子焼鍋の内面は、ダイヤモンド粒子を配合し耐久性をもたせた3層構造のブルーダイヤモンドコートなので、こびりつきにくく、お手入れ簡単,[],1146,ホーム＆キッチン/キッチン用品/鍋・フライパン/フライパン・炒め鍋/玉子焼き器,24678
B00HRL2QTS,B07K8WQFWS,イノマタ化学 電子レンジ容器 楽ちんパック 蓋をしたままレンジ可能 角型 400ml 4個セット カラフル,https://images-na.ssl-images-amazon.com/images/I/51QnJ4m5ksL.jpg,パターン(種類):角型タイプ商品紹介大人気の楽ちんパック。いくつあっても困らないから、たくさんそろえておきたいフタをしたままレンジOKフラットなので洗いやすいピッタリ重なってしまいやすいAmazonより●温め楽ちん!洗うの楽ちん!楽ちんパックのご飯一膳用●楽ちんパックは、冷凍庫から電子レンジまで使用できる●冷凍庫から出したパックは、フタをしたままそのまま電子レンジの使用OK。加熱時に発生する蒸気によってフタが押し上げられるので、自動的に蒸気を逃がする●フタと本体のフチがフラットなので、スポンジだけで簡単に洗える●角型なので冷蔵庫の端にもスッキリ納まる。中身が見えるので庫内でも見やすい●使った後は、本体・フタを別々に重ねるととってもコンパクトに収納できる,[],540,ホーム＆キッチン/キッチン用品/保存容器/保存容器・キャニスター,24678
B00HULWP6O,B07K8WQFWS,サンコー ズレない折り曲げ付キッチンマット おくだけ吸着 約47×60cm3枚 ベージュ KE31,,カラー:グリーンAmazonより●折り曲げ付のキッチンマット●置くだけでピッタリ吸着しズレない●床と流し台との隙間の汚れを防ぐ●撥水加工で、水などをこぼしてもサッとひと拭きすれば大丈夫●めくれ上がらず厚さ3mmだからつまずきにくい●アンモニア消臭加工,[],1228,ホーム＆キッチン/キッチン用品/エプロン・キッチンファブリック/キッチンマット,24678
B00I7DY15M,B07K8WQFWS,Microplane プレミアムシリーズ ゼスターグレーター ホワイト MP-0620,https://images-na.ssl-images-amazon.com/images/I/31DxtZv-VpL.jpg,"色:ホワイト| 

パターン(種類):ゼスターグレーターアメリカの木工ヤスリメーカーがその独自の技術で作った鋭い刃は、そのひとつひとつに「刃つけ」がされており、たくさんの小さなナイフが様々な食材をスムーズに削りとる切れ味が良く、目詰まりしないので水洗いもカンタンスポンジで洗えるので後片付けが楽収納に場所をとらないスマートなデザインチーズはもちろん、ニンニク、玉ねぎ、人参、オレンジの皮、ナツメグなど、刃の上で軽く滑らすだけで、カンタンにおろせる生姜は通常のこってしまう繊維ごと細かくするので、食感が良くなる",[],2998,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/おろし器,24678
B00IJ5VJYE,B07K8WQFWS,プロ仕様 元祖大物じーちゃんのアルミシフォン型１７cmコツ！コツ！コツがわかるんデス！レシピ・配合表付き！決定版,https://images-na.ssl-images-amazon.com/images/I/518w2RPx5JL.jpg,サイズ:17cm作り方はユーチューブ動画でご案内しています　タイトル　●　その１　ＵＦＯパラソルを使ってプレーンシフォンケーキを作る／その２　ＵＦＯパラソルを使って紅茶シフォンを作る／その３　UFOパラソル　クリップの取り付け方／その４　シフォンケーキの離型　UFOパラソル/その５／シフォン型を簡単に洗う方法一般的に流通しているシフォンケーキ型に使用されている材質は多種多様。紙のシフォン型をはじめ、シリコンシフォン型、スチールシフォン型、スチールアルミめっきシフォン型、フッ素加工シフォン型、アルミシフォン型、アルミアルマイトシフォン型などがありますが材質によって焼成上の注意点が異なりますので製品に添付した配合表レシピコツを必ず、ご確認ください。特に今まで、アルミシフォン型、アルミアルマイトシフォン型以外の材質をご使用されていた場合は改めて焼成上の違いを、ご確認頂けますうに。メレンゲを丈夫に作る方法やシフォンケーキ作り大成功のポイントも詳しく、添付書類に記載しています。アルミアルマイト加工だから金属臭が消え、味と膨らみに格段の差！プロの味が再現できる！アルマイト加工だから、よく焼き付き生地がすべり落ちず、ふわふわのシフォンケーキができる。中心に煙突がある理由は外側と内側に平均的に熱を伝える点と、通常のデコレーションケーキ型でシフォンケーキ（メレンゲの多いケーキ生地）を焼成した場合はケーキ型の内側面に焼き付けた生地は、高さを維持できてもデコレーションケーキ型の構造状、必ずと言ってよいほどケーキ生地中心は落ち窪んでしまう。中心に柱となる煙突を形成加工したシフォンケーキ型は、生地を中心の煙突に焼き付け、完璧ではないにしても膨らみを維持することを可能にしたケーキ型です。アルマイト加工は耐久性だけではなく輻射熱をアップします。シフォンケーキは高さのあるケーキの為、型に焼き付く事で膨らみを維持。アルマイト加工はシフォンケーキを作る上で大切な加工です。これ知っている？　　　アルマイトのはじまり！アルミの陽極酸化処理法は理化学研究所によって開発された日本の技術で電解液にシュウ酸を使いアルミの表面に酸化被膜を形成させるというものから始まりました。この画期的な発明は国内外でも絶賛されました。この処理法を、その当時アルマイトと商標登録したことで、現在ではアルマイトという呼び方は、陽極酸化皮膜処理の総称となっています。アルミは軽く、熱伝導性に優れた長所の金属ですが、アルミの素地は大変柔らかく、傷になりやすい弱点もあり、アルマイト処理を行っていない素地のままの製品は触った手や置いたところなどが黒くなって汚れてしまうこともありました。加工した製品にアルマイト処理を行うと見た目にも美しく、アルミの耐食性を向上させ丈夫になります。アルマイトはこのようなアルミの弱点をカバーすることだけに留まらず、アルミの可能性を引出した素晴らしい日本の技術です。※アルマイト処理をした製品の注意点アルマイト処理を行った製品は丈夫だからと言って、故意に鋭い尖ったものなので強く押したり、または落下させたりすれば加工した製品は変形や傷の原因になることもありますので、そのような扱いは避けてください。アルミ素地を加工する段階ではアルマイト処理を行うことはない為、製品にする段階の加工過程においては傷になることもありますが、その後アルマイト処理を行うので素地についた薄い傷が浮き上がって目視できる場合があります。このような傷はほぼ腐食の心配はないと思われますのでご使用頂けます。焼成後は型を暫くぬるま湯に付けた後、食器洗い用中性洗剤を使い、スポンジで洗って下さい。アルミシフォンケーキが出来上がるまでをユーチューブ動画でご覧ください。タイトルは元祖大物じーちゃんのアルミシフォンケーキ型が出来上がるまで③,"['https://images-na.ssl-images-amazon.com/images/S/aplus-seller-content-images-us-east-1/A1VC38T7YXB528/A372X34PZ0QQPS/B00IJ5VJYE/FpTqm4aSnCg._UX933_TTW_.jpg', 'https://images-na.ssl-images-amazon.com/images/S/aplus-seller-content-images-us-east-1/A1VC38T7YXB528/A372X34PZ0QQPS/B00IJ5VJYE/FmA82hSkCt._UX813_TTW_.jpg']",2180,ホーム＆キッチン/キッチン用品/調理・製菓道具/製菓用品/ケーキ型,24678
B00IJU0ECC,B07K8WQFWS,シービージャパン 弁当箱 ネイビー 薄型 フードマン 800ml DSK,,色:ネイビー●立てて運べる薄型弁当箱●A4サイズと同じ幅だから、ビジネスバッグにもすっきり収納●汁漏れしにくいWシーリング構造●しっかり固定の4点ロック●お弁当が美味しく見える内側ホワイト●洗うの楽々一体成形パッキン●ランチプレート気分一体型中仕切り●食器洗浄機OK●電子レンジOK※フタを外して使用して下さい。,[],1023,ホーム＆キッチン/キッチン用品/弁当箱・水筒/弁当箱,24678
B00IQZXX5K,B07K8WQFWS,和平フレイズ 味道 角バット キャビネット AD-328,https://images-na.ssl-images-amazon.com/images/I/41wBpdi3dML.jpg,質と使いやすさにこだわった厨房用調理用具「味道(あじどう)」シリーズ。プロの方のご利用はもちろん、一般のご家庭でも活躍する逸品です。下ごしらえ、調理、食材の保存まで、便利に使えるステンレス製の角バットです。サイズが豊富に揃っていますので、用途、素材の大きさ等に合わせてお選び頂けます。,[],901,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/バット,24678
B00IQZY4YE,B07K8WQFWS,和平フレイズ 深型キッチンポット 8cm 味道 AD-448,https://images-na.ssl-images-amazon.com/images/I/418g8RSBaWL.jpg,サイズ:8cm質と使いやすさにこだわった厨房用調理用具「味道(あじどう)」シリーズ。プロの方のご利用はもちろん、一般のご家庭でも活躍する逸品です。タレや調味料の保存や小分けに便利です。蓋の裏側に引っ掛け金具が付いていますので、蓋の置き場に困りません。家庭用から業務用までカバーできる豊富なサイズ展開。,[],1534,ホーム＆キッチン/キッチン用品/保存容器/保存容器・キャニスター,24678
B00IZ9Z9EU,B07K8WQFWS,オカ (OKA) 優踏生 洗いやすいキッチンマット グリーン 約45×90cm (洗える 台所マット),https://images-na.ssl-images-amazon.com/images/I/51DFBXwJQGL.jpg,"サイズ:約45cm×90cm| 

カラー:グリーンAmazonより●小さく折りたためてお洗濯しやすいキッチンマット「優踏生洗いやすいキッチンマット」シリーズ●マットがとてもやわらかく軽量なので小さく折りたためてかさばらない●しっかりとした踏み心地のループ状になった毛足が、足腰への負担や足元への冷えを軽減してくれる●さらりとした肌触りは、汚れも落ちやすくお洗濯やお手入れが簡単●洗濯後の乾きも早いので楽にお手入れができる●滑り止め加工付きで、毎日、快適な使い心地●裏ゴムの滑り止め加工はメーカー従来品比5倍の耐久性で洗濯を繰り返しても長持ち●日本製で確かな品質●カラーはベージュ、ブラウン、グリーンの3カラー、サイズは8サイズと豊富●グリーンのみテクスチュアが異なるためご注意下さい●洗濯可能(※一部の形式の洗濯機ではご使用いただけない場合があるため洗濯機の取扱説明書をよくご確認の上、洗濯してください)●床暖房は対応不可(※裏面のすべり止めが劣化するので床暖房を使用している場所には置かないでください)",[],1296,ホーム＆キッチン/キッチン用品/エプロン・キッチンファブリック/キッチンマット,24678
B00J54RJTW,B07K8WQFWS,アイリスオーヤマ フライパン 鍋 6点 セット 26cm 20cm ガス火専用 ih 非対応 ふた ダイヤモンドコートパン レッド 取っ手の取れる H-GS-SE6,,"色:レッド| 

パターン(種類):6点※ハンドルは着脱式です。※直火専用です。IHには対応していません。※電子レンジには使用できません。※食器洗い乾燥機での洗浄、乾燥はしないでください。ダイヤモンドコーティングを使用した、こびりつきにくく丈夫で長持ちするガス火対応のフライパンです。取手がとれるので調理・食卓・保存をこれ一台ででき、収納も簡単です。ダイヤモンドコーティングとは、人工ダイヤモンドを細かい粒子状にしてフッ素樹脂コーティングに配合したものです。",[],4389,ホーム＆キッチン/キッチン用品/鍋・フライパン/鍋・フライパンセット/鍋・フライパンミックスセット,24678
B00KF3DXGK,B07K8WQFWS,【正規品】 東レ トレビーノ ポット型浄水器 交換用カートリッジ 高除去+時短浄水タイプ 2個入 PTC.SV2J-P,https://images-na.ssl-images-amazon.com/images/I/312AykrcrbL.jpg,Amazonより●〔すぐにおいしい「時短浄水」〕料理に、飲み水に、使いたい時にすぐ使える。カートリッジ内の空気がスムーズに抜けるろ過システムで、高い除去性能はそのままにろ過スピードUPを実現した●〔安心の「高除去タイプ」〕ミネラルそのままJIS12項目クリア●※水質、水温や季節、地球、注ぎ方などの使用状況により、ろ過時間がかかったり、早まったりする場合もある●※水道水の飲用基準に合格した水をお使いください●※ろ材の取換時期の目安は使用水量、水質、水圧により異なる●※毎日の使い始めは10秒ほど、2日以上使用しなかった後は60秒ほど通水してからご使用ください●※浄水で35℃以上の温水の使用はお避けください。原水でも50℃以上の温水は通さないでください●※浄水はくみ置きしないで、早めにお使いください●※凍結させないでください●※養魚用などには使用しないでください,[],2715,ホーム＆キッチン/キッチン用品/浄水器・整水器/浄水器・ポット交換カートリッジ/浄水ポット用カートリッジ,24678
